m1,m2,m3,m4,m5,m6,Maintainability,Reliability,Total_QR,LOC,Repository,Version,Data
0.43243243243243246,0.16216216216216217,1.0,1.0,0,0.5675675675675675,0.26310810810810814,0.27364864864864863,0.5367567567567568,1348,Scraper,02-11-2021-23-26,02-11-2021-23-26
0.6363636363636364,0.09090909090909091,1.0,1.0,0,0.09090909090909091,0.28500000000000003,0.10681818181818181,0.39181818181818184,484,Scraper,07-10-2021-07-43,07-10-2021-07-43
0.42105263157894735,0.15789473684210525,1.0,1.0,0,0.5789473684210527,0.2605263157894737,0.2776315789473684,0.5381578947368422,1337,Scraper,07-11-2021-19-54,07-11-2021-19-54
0.42105263157894735,0.15789473684210525,1.0,1.0,0,0.5789473684210527,0.2605263157894737,0.2776315789473684,0.5381578947368422,1337,Scraper,10-11-2021-00-55,10-11-2021-00-55
0.5,0.0,1.0,1.0,0,0.0,0.2475,0.075,0.3225,138,Scraper,15-09-2021-00-01,15-09-2021-00-01
0.4827586206896552,0.10344827586206896,1.0,1.0,0,0.4482758620689655,0.2617241379310345,0.23189655172413792,0.4936206896551724,1058,Scraper,21-10-2021-15-11,21-10-2021-15-11
0.2,0.1,1.0,1.0,0,0.6,0.21450000000000002,0.285,0.4995,359,DocumentsAPI,02-11-2021-23-35,02-11-2021-23-35
0.21052631578947367,0.10526315789473684,1.0,1.0,0,0.5263157894736842,0.21710526315789475,0.25921052631578945,0.4763157894736842,336,DocumentsAPI,07-10-2021-07-31,07-10-2021-07-31
0.21052631578947367,0.10526315789473684,1.0,1.0,0,0.5263157894736842,0.21710526315789475,0.25921052631578945,0.4763157894736842,341,DocumentsAPI,07-10-2021-12-28,07-10-2021-12-28
0.23809523809523808,0.09523809523809523,1.0,1.0,0,0.6190476190476191,0.22,0.2916666666666667,0.5116666666666667,482,DocumentsAPI,07-11-2021-18-29,07-11-2021-18-29
0.23809523809523808,0.09523809523809523,1.0,1.0,0,0.6190476190476191,0.22,0.2916666666666667,0.5116666666666667,480,DocumentsAPI,09-11-2021-21-53,09-11-2021-21-53
0.1875,0.125,1.0,1.0,0,0.5625,0.2165625,0.271875,0.48843749999999997,289,DocumentsAPI,15-09-2021-00-24,15-09-2021-00-24
0.2222222222222222,0.1111111111111111,1.0,1.0,0,0.5555555555555556,0.22,0.26944444444444443,0.48944444444444446,266,DocumentsAPI,15-10-2021-20-45,15-10-2021-20-45
1.0,0.0,1.0,1.0,0,0.0,0.33,0.075,0.405,307,MLTraining,04-11-2021-16-01,04-11-2021-16-01
1.0,0.0,1.0,1.0,0,0.0,0.33,0.075,0.405,307,MLTraining,04-11-2021-17-36,04-11-2021-17-36
1.0,0.0,1.0,1.0,0,0.0,0.33,0.075,0.405,308,MLTraining,10-11-2021-19-43,10-11-2021-19-43
1.0,0.0,1.0,1.0,0,0.0,0.33,0.075,0.405,308,MLTraining,12-11-2021-16-10,12-11-2021-16-10
1.0,0.0,1.0,1.0,0,0.0,0.33,0.075,0.405,138,MLTraining,14-09-2021-23-45,14-09-2021-23-45
1.0,0.0,1.0,1.0,0,0.0,0.33,0.075,0.405,138,MLTraining,21-10-2021-15-24,21-10-2021-15-24
0.5,0.05263157894736842,0.9210526315789473,1.0,0,0.5789473684210527,0.24315789473684213,0.2776315789473684,0.5207894736842105,2460,Frontend,02-11-2021-23-30,02-11-2021-23-30
0.5,0.05263157894736842,0.9210526315789473,1.0,0,0.5789473684210527,0.24315789473684213,0.2776315789473684,0.5207894736842105,2460,Frontend,03-11-2021-17-44,03-11-2021-17-44
0.5,0.2,1.0,1.0,0,0.5,0.2805,0.25,0.5305,125,Frontend,07-10-2021-11-50,07-10-2021-11-50
0.5535714285714286,0.05357142857142857,0.9642857142857143,1.0,0,0.5,0.2592857142857143,0.25,0.5092857142857143,4244,Frontend,07-11-2021-18-38,07-11-2021-18-38
0.5535714285714286,0.05357142857142857,0.9642857142857143,1.0,0,0.5,0.2592857142857143,0.25,0.5092857142857143,4274,Frontend,09-11-2021-16-43,09-11-2021-16-43
0.5535714285714286,0.05357142857142857,0.9642857142857143,1.0,0,0.5,0.2592857142857143,0.25,0.5092857142857143,4274,Frontend,10-11-2021-00-51,10-11-2021-00-51
0.6,0.2,1.0,1.0,0,0.2,0.29700000000000004,0.145,0.44200000000000006,58,Frontend,15-09-2021-00-47,15-09-2021-00-47
0.48148148148148145,0.1111111111111111,0.9259259259259259,1.0,0,0.6296296296296297,0.25055555555555553,0.29537037037037034,0.5459259259259259,1334,Frontend,27-10-2021-17-37,27-10-2021-17-37
